Period (s), SA (ms2)
4.37318E-02, 3.89450E-02
4.36681E-02, 3.89506E-02
4.36047E-02, 3.89543E-02
4.35414E-02, 3.89560E-02
4.34783E-02, 3.89560E-02
4.34153E-02, 3.89541E-02
4.33526E-02, 3.89506E-02
4.32900E-02, 3.89454E-02
4.32277E-02, 3.89389E-02
4.31655E-02, 3.89311E-02
4.31034E-02, 3.89221E-02
4.30416E-02, 3.89121E-02
4.29799E-02, 3.89014E-02
4.29185E-02, 3.88900E-02
4.28571E-02, 3.88781E-02
4.27960E-02, 3.88658E-02
4.27350E-02, 3.88534E-02
4.26743E-02, 3.88409E-02
4.26136E-02, 3.88285E-02
4.25532E-02, 3.88162E-02
4.24929E-02, 3.88042E-02
4.24328E-02, 3.87926E-02
4.23729E-02, 3.87814E-02
4.23131E-02, 3.87707E-02
4.22535E-02, 3.87605E-02
4.21941E-02, 3.87508E-02
4.21348E-02, 3.87417E-02
4.20757E-02, 3.87332E-02
4.20168E-02, 3.87252E-02
4.19580E-02, 3.87176E-02
4.18994E-02, 3.87105E-02
4.18410E-02, 3.87037E-02
4.17827E-02, 3.86971E-02
4.17246E-02, 3.86907E-02
4.16667E-02, 3.86843E-02
4.16089E-02, 3.86777E-02
4.15512E-02, 3.86709E-02
4.14938E-02, 3.86636E-02
4.14365E-02, 3.86557E-02
4.13793E-02, 3.86470E-02
4.13223E-02, 3.86372E-02
4.12655E-02, 3.86262E-02
4.12088E-02, 3.86138E-02
4.11523E-02, 3.85997E-02
4.10959E-02, 3.85837E-02
4.10397E-02, 3.85657E-02
4.09836E-02, 3.85454E-02
4.09277E-02, 3.85226E-02
4.08719E-02, 3.84972E-02
4.08163E-02, 3.84690E-02
4.07609E-02, 3.84378E-02
4.07056E-02, 3.84035E-02
4.06504E-02, 3.83660E-02
4.05954E-02, 3.83252E-02
4.05405E-02, 3.82810E-02
4.04858E-02, 3.82335E-02
4.04313E-02, 3.81825E-02
4.03769E-02, 3.81282E-02
4.03226E-02, 3.80705E-02
4.02685E-02, 3.80096E-02
4.02145E-02, 3.79455E-02
4.01606E-02, 3.78784E-02
4.01070E-02, 3.78083E-02
